,CPU Usage %,Temperature C
2024-04-30 13:32:34.353283,4.9,9.363182068
2024-04-30 13:32:44.699961,7,9.39566803
2024-04-30 13:32:54.972220,17.7,9.366645813
2024-04-30 13:33:05.203658,10.5,9.3621521
2024-04-30 13:33:15.381821,18.7,9.361972809
2024-04-30 13:33:25.544135,15.5,9.342926025
2024-04-30 13:33:35.767934,15.9,9.365825653
